country,location_name,timezone,last_updated,travel_safety
Afghanistan,Kabul,Asia/Kabul,2024-05-16 13:15,Safe
Albania,Tirana,Europe/Tirane,2024-05-16 10:45,Unsafe
Algeria,Algiers,Africa/Algiers,2024-05-16 09:45,Safe
Andorra,Andorra La Vella,Europe/Andorra,2024-05-16 10:45,Caution
Angola,Luanda,Africa/Luanda,2024-05-16 09:45,Unsafe
Antigua and Barbuda,Saint John's,America/Antigua,2024-05-16 04:45,Caution
Argentina,Buenos Aires,America/Argentina/Buenos_Aires,2024-05-16 05:45,Unsafe
Armenia,Yerevan,Asia/Yerevan,2024-05-16 12:45,Safe
Australia,Canberra,Australia/Sydney,2024-05-16 18:45,Caution
Austria,Vienna,Europe/Vienna,2024-05-16 10:45,Safe
Azerbaijan,Baku,Asia/Baku,2024-05-16 12:45,Safe
Bahamas,Nassau,America/Nassau,2024-05-16 04:45,Caution
Bahrain,Manama,Asia/Bahrain,2024-05-16 11:45,Caution
Bangladesh,Dhaka,Asia/Dhaka,2024-05-16 14:45,Caution
Barbados,Bridgetown,America/Barbados,2024-05-16 04:45,Safe
Belarus,Minsk,Europe/Minsk,2024-05-16 11:45,Safe
Belgium,Brussels,Europe/Brussels,2024-05-16 10:45,Unsafe
Belize,Belmopan,America/Belize,2024-05-16 02:45,Caution
Benin,Porto-Novo,Africa/Porto-Novo,2024-05-16 09:45,Caution
Bhutan,Thimphu,Asia/Thimphu,2024-05-16 14:45,Safe
Bolivia,Sucre,America/La_Paz,2024-05-16 04:45,Caution
Bosnia and Herzegovina,Sarajevo,Europe/Sarajevo,2024-05-16 10:45,Safe
Botswana,Gaborone,Africa/Gaborone,2024-05-16 10:45,Caution
Brazil,Bras,America/Manaus,2024-05-16 04:45,Unsafe
Brunei Darussalam,Bandar Seri Begawan,Asia/Brunei,2024-05-16 16:45,Caution
Bulgaria,Sofia,Europe/Sofia,2024-05-16 11:45,Caution
Burkina Faso,Ouagadougou,Africa/Ouagadougou,2024-05-16 08:45,Safe
Burundi,Bujumbura,Africa/Bujumbura,2024-05-16 10:45,Caution
Madagascar,Ivory,Indian/Antananarivo,2024-05-16 11:45,Safe
Cape Verde,Praia,Atlantic/Cape_Verde,2024-05-16 07:45,Safe
Cambodia,Phnom Penh,Asia/Phnom_Penh,2024-05-16 15:45,Caution
Cameroon,Yaounde,Africa/Douala,2024-05-16 09:45,Caution
Canada,Ottawa,America/Toronto,2024-05-16 04:45,Safe
Central African Republic,Bangui,Africa/Bangui,2024-05-16 09:45,Safe
Chad,N'djamena,Africa/Douala,2024-05-16 09:45,Safe
Chile,Santiago,America/Santiago,2024-05-16 04:45,Unsafe
China,Beijing,Asia/Shanghai,2024-05-16 16:45,Unsafe
Bulgaria,Bogot,Europe/Sofia,2024-05-16 11:45,Safe
Comoros,Moroni,Indian/Comoro,2024-05-16 11:45,Safe
Congo,Brazzaville,Africa/Brazzaville,2024-05-16 09:45,Caution
Costa Rica,San Juan,America/Costa_Rica,2024-05-16 02:45,Unsafe
Croatia,Zagreb,Europe/Zagreb,2024-05-16 10:45,Caution
Cuba,Havana,America/Havana,2024-05-16 04:45,Caution
Cyprus,Nicosia,Asia/Famagusta,2024-05-16 11:45,Safe
Czech Republic,Prague,Europe/Prague,2024-05-16 10:45,Caution
Democratic Republic of Congo,Kinshasa,Africa/Brazzaville,2024-05-16 09:45,Caution
Denmark,Copenhagen,Europe/Copenhagen,2024-05-16 10:45,Caution
Djibouti,Djibouti,Africa/Djibouti,2024-05-16 11:45,Safe
Dominica,Roseau,America/Dominica,2024-05-16 04:45,Caution
Dominican Republic,Santo Domingo,America/Santo_Domingo,2024-05-16 04:45,Unsafe
Ecuador,Quito,America/Guayaquil,2024-05-16 03:45,Unsafe
Egypt,Cairo,Africa/Cairo,2024-05-16 11:45,Safe
El Salvador,San Salvador,America/El_Salvador,2024-05-16 02:45,Unsafe
Equatorial Guinea,Malabo,Africa/Malabo,2024-05-16 09:45,Caution
Eritrea,Asmara,Africa/Asmara,2024-05-16 11:45,Safe
Estonia,Tallinn,Europe/Tallinn,2024-05-16 11:45,Safe
Swaziland,Mbabane,Africa/Mbabane,2024-05-16 10:45,Caution
Ethiopia,Addis Ababa,Africa/Addis_Ababa,2024-05-16 11:45,Safe
Fiji Islands,Suva,Pacific/Fiji,2024-05-16 20:45,Caution
Finland,Helsinki,Europe/Helsinki,2024-05-16 11:45,Caution
France,Paris,Europe/Paris,2024-05-16 10:45,Safe
Gabon,Libreville,Africa/Libreville,2024-05-16 09:45,Caution
Gambia,Banjul,Africa/Banjul,2024-05-16 08:45,Caution
Georgia,Tbilisi,Asia/Tbilisi,2024-05-16 12:45,Safe
Germany,Berlin,Europe/Berlin,2024-05-16 10:45,Caution
Ghana,Accra,Africa/Accra,2024-05-16 08:45,Caution
Greece,Athens,Europe/Athens,2024-05-16 11:45,Safe
Grenada,Saint George's,America/Grenada,2024-05-16 04:45,Caution
Guatemala,Guatemala City,America/Guatemala,2024-05-16 02:45,Unsafe
Guinea,Conakry,Africa/Conakry,2024-05-16 08:45,Unsafe
Guinea-Bissau,Bissau,Africa/Bissau,2024-05-16 08:45,Caution
Guyana,Georgetown,America/Guyana,2024-05-16 04:45,Unsafe
Haiti,Port-Au-Prince,America/Port-au-Prince,2024-05-16 04:45,Caution
Vatican City,Vatican City,Europe/Rome,2024-05-16 10:45,Caution
Honduras,Tegucigalpa,America/Tegucigalpa,2024-05-16 02:45,Caution
Hungary,Budapest,Europe/Budapest,2024-05-16 10:45,Caution
Iceland,Grindavik,Atlantic/Reykjavik,2024-05-16 08:45,Unsafe
India,New Delhi,Asia/Kolkata,2024-05-16 14:15,Caution
Indonesia,Jakarta,Asia/Jakarta,2024-05-16 15:45,Unsafe
Iran,Tehran,Asia/Tehran,2024-05-16 12:15,Caution
Iraq,Baghdad,Asia/Baghdad,2024-05-16 11:45,Safe
Ireland,Dublin,Europe/Dublin,2024-05-16 09:45,Unsafe
Israel,Jerusalem,Asia/Jerusalem,2024-05-16 11:45,Safe
Italy,Rome,Europe/Rome,2024-05-16 10:45,Caution
Jamaica,Norman Gardens,America/Jamaica,2024-05-16 03:45,Caution
Japan,Tokyo,Asia/Tokyo,2024-05-16 17:45,Unsafe
Jordan,Amman,Asia/Amman,2024-05-16 11:45,Safe
Kazakhstan,Astana,Asia/Almaty,2024-05-16 13:45,Safe
Kenya,Nairobi,Africa/Nairobi,2024-05-16 11:45,Caution
Kiribati,Tarawa,Pacific/Tarawa,2024-05-16 20:45,Safe
Kuwait,Kuwait City,Asia/Kuwait,2024-05-16 11:45,Caution
Kyrghyzstan,Bishkek,Asia/Bishkek,2024-05-16 14:45,Safe
Indonesia,Laos,Asia/Jakarta,2024-05-16 15:45,Safe
Latvia,Riga,Europe/Riga,2024-05-16 11:45,Safe
Lebanon,Beirut,Asia/Beirut,2024-05-16 11:45,Safe
Lesotho,Maseru,Africa/Johannesburg,2024-05-16 10:45,Caution
Liberia,Monrovia,Africa/Monrovia,2024-05-16 08:45,Unsafe
Thailand,Nan,Asia/Bangkok,2024-05-16 15:45,Safe
Liechtenstein,Vaduz,Europe/Vaduz,2024-05-16 10:45,Safe
Lithuania,Vilnius,Europe/Vilnius,2024-05-16 11:45,Safe
Luxembourg,Luxembourg,Europe/Luxembourg,2024-05-16 10:45,Caution
Madagascar,Antananarivo,Indian/Antananarivo,2024-05-16 11:45,Safe
Malawi,Lilongwe,Africa/Blantyre,2024-05-16 10:45,Safe
Malaysia,Kuala Lumpur,Asia/Kuala_Lumpur,2024-05-16 16:45,Caution
